professionName,professionEnglishName,agricultureOrForestryRelated,manualLabor,education,SESgroup1989,occupationCategory,socialClassRank
maanviljelijä,farmer (owns farm),1,1,0,1,3,5
rouva,housewife (upper class???),0,0,0,8,,
emäntä,Farm housewife,1,1,0,1,3,5
eläkeläinen,pensioner,,0,,7,,
kirvesmies,carpenter (on a construction site),0,1,0,4,6,4
työmies,workman,0,1,0,5,6,6
ompelija,dressmaker,0,1,0,5,6,4
työnjohtaja,foreman,0,0,0,4,0,2
liikkeenharjoittaja,Businessman,0,0,1,2,2,2
autonkuljettaja,chauffeur,0,0,0,5,5,6
autoilija,motorist,0,0,0,5,5,5
siivooja,cleaner,0,1,0,5,8,6
kauppias,merchant shop owner,0,0,1,2,2,2
kansakoulunopettaja,elementary school teacher,0,0,1,3,0,2
liikeapulainen,buisness assistant,0,0,0,4,2,4
tehdastyöläinen,factory worker,0,1,0,5,6,5
maalari,painter,0,1,0,5,6,6
leskirouva,widow (female),,,,,,
apulainen,helper,0,1,0,5,8,7
rakennusmestari,builder,0,0,1,4,0,2
varastonhoitaja,stock keeper,0,0,0,4,5,3
varastomies,warehouse worker,0,1,0,5,7,5
keittäjä,cook,0,1,0,5,8,5
puuseppä,carpenter (furniture or small crafts),0,1,0,5,6,3
talonmies,caretaker,0,0,0,5,8,5
konttoristi,clerk,0,0,0,4,1,3
sähköasentaja,electrician,0,1,0,5,6,3
muurari,bricklayer,0,1,0,5,6,4
myymälänhoitaja,store manager,0,0,,3,2,3
pienviljelijä,small farm holder,1,1,0,1,3,5
opettaja,teacher,0,0,1,3,0,2
rautatieläinen,railwayman,0,,0,4,5,5
veturinkuljettaja,engine driver,0,,0,5,5,5
sekatyömies,odd-job man,0,1,0,5,6,7
vahtimestari,caretaker,0,0,0,5,8,5
neiti,miss,,,,,,
koneenhoitaja,engineer,0,0,1,2,6,2
putkiasentaja,pipe fitter,0,1,0,5,6,4
teknikko,technician,0,0,1,4,6,2
hitsaaja,welder,0,1,0,5,6,3
pakkaaja,packer,0,1,,5,6,7
asentaja,mechanic,0,1,0,5,6,4
toimistoapulainen,office boy,0,0,0,4,1,6
rakennustyömies,construction worker,0,1,0,5,6,4
rakennustyöläinen,construction worker,0,1,0,5,6,4
sairaanhoitaja,nurse,0,0,1,4,0,3
työläinen,worker,,1,0,5,6,6
autonasentaja,car mechanic,0,1,0,5,6,5
toimitusjohtaja,managing director,0,0,1,3,1,2
maanvilj,farmer,1,1,0,1,3,6
lämmittäjä,steam furnace worker,0,1,0,5,6,4
kutoja,weaver,0,1,0,5,6,3
levyseppä,metalsmith,0,1,0,5,6,3
tarjoilija,Waiter,0,0,0,5,8,4
kirjanpitäjä,accountant,0,0,,2,1,2
kassanhoitaja,cashier,0,0,0,4,2,5
viilaaja,filer,0,0,0,4,6,3
ahtaaja,stevedore,0,1,0,5,1,4
laitosmies,factory worker machinist,0,1,0,5,6,4
seppä,blacksmith,0,1,0,5,6,5
asemamies,"railroad station worker (Appears to have done many different tasks at railway station. At larger stations, there were many of them, and their boss was the 'head of the station')",0,1,0,4,5,6
keittiöapulainen,Kitchen helper,0,1,0,5,8,7
metsätyömies,woodcutter,0,1,0,5,3,6
talonomistaja,householder,0,,0,,,7
taloudenhoitaja,housekeeper,0,1,0,5,8,7
insinööri,engineer,0,0,1,3,0,1
puutarhuri,gardener,0,1,0,5,3,7
tehtaantyöläinen,factory worker,0,1,0,5,6,5
kalastaja,fisherman,0,1,,5,3,6
mielisairaanhoitaja,mental nurse,0,0,1,4,0,3
johtaja,manager,0,0,1,3,1,3
apuhoitaja,caregiver,0,0,0,5,0,5
kotiapulainen,domestic help,0,0,0,5,8,7
pankkivirkailija,bank clerk,0,0,0,4,1,3
vaatturi,tailor,0,0,0,5,6,4
sorvaaja,metal lathe worker,0,1,0,5,6,4
sotilasmestari evp,sergeant major retired,0,0,,,8,3
myyjätär,saleswoman,0,0,0,4,2,4
junamies,train man,0,0,0,5,5,4
liikemies,businessman,0,0,1,2,2,1
myyjä,salesperson,0,0,0,4,2,4
edustaja,representative,0,0,,,2,4
kampaaja,hairdresser,0,0,0,5,8,5
toimistovirkailija,clerk,0,0,0,4,1,5
osastonhoitaja,Head nurse,0,0,1,3,0,2
puhelinvälittäjä,telephone broker,0,0,0,4,1,3
koneasentaja,machine fitter,0,1,0,5,6,5
konemestari,engineer,0,0,1,3,0,2
lehtori,lecturer,0,0,1,3,0,1
metsätyönjohtaja,forestry foreman,1,1,,5,3,4
leipuri,baker,0,0,0,5,6,6
karjakko,milkmaid,0,,0,5,3,7
ratatyömies,railway worker,0,0,0,4,6,6
lastenhoitaja,nanny,0,0,0,5,0,6
postivirkailija,post office clerk,0,0,0,4,1,5
ylikonstaapeli,sergeant,0,0,0,,8,3
poliisikonstaapeli,police officer,0,0,0,4,8,4
konduktööri,conductor,0,0,0,4,5,3
merkonomi,sales and administration worker,0,0,1,4,1,2
metsäteknikko,forestry technician,1,1,1,5,3,3
korjausmies,repair man,0,0,0,5,6,5
vartija,guard,0,0,0,4,8,6
vääpeli evp,Warrant Officer retired,0,0,1,3,8,3
farmaseutti,pharmacist,0,0,1,2,0,2
urakoitsija,contractor,0,0,,2,6,2
vaihdemies,switchman (rails),0,0,0,5,5,5
konepuuseppä,joiner machine,0,1,0,5,6,4
kirjaltaja,print shop book binding,0,0,,4,6,3
terveyssisar,district nurse,0,0,1,4,0,3
tilallinen,farm owner,1,1,0,1,3,4
puhelinasentaja,telephone installer,0,0,0,5,6,5
ylivääpeli evp,master sergeant retired,0,0,,,8,4
nosturinkuljettaja,crane operator,0,1,0,5,5,4
kanslisti,clerk,0,0,0,4,1,5
peltiseppä,tinsmith,0,1,0,5,6,4
kätilö,midwife,0,0,0,5,0,6
huoltomies,serviceman,0,0,0,5,8,
sementtimies,cement man,0,1,0,5,6,6
tarkastaja,inspector,0,0,,4,6,4
hioja,The grinder,0,1,0,5,6,5
lajittelija,sorter,0,1,0,5,6,7
karjanhoitaja,cowboy (takes care of cows on farms),1,1,0,5,3,5
sähköteknikko,electrician,0,1,0,5,6,4
ylikonduktööri,Senior conductor,0,0,,3,5,3
panostaja,bettor (certified in explosives),0,0,,5,6,4
esimies,director,0,0,1,3,1,2
ylivääpeli,master sergeant,0,0,,,8,3
vanhempi konstaapeli,senior Constable,0,0,1,3,8,2
sotilasmestari,sergeant major,0,0,,,8,3
varastoapulainen,warehouse assistant,0,1,0,5,6,7
trukinkuljettaja,the truck driver,0,0,0,5,5,5
ekonomi,bachelors degree economist,0,0,1,6,2,2
ratavartija,guard rail,0,0,0,4,5,6
kapteeni evp,captain ret,0,0,1,3,8,2
agrologi,Agronomist,1,0,1,2,3,2
verhoilija,upholsterer,0,0,0,5,6,5
leikkaaja,editor,0,0,1,3,6,2
postinkantaja,postman,0,0,,4,8,5
myyntimies,salesman,0,0,,4,2,4
hieroja,massager,0,0,0,5,8,4
jalkinetyöntekijä,footwear employee,0,0,0,5,6,5
rakennusmies,construction worker,0,1,0,5,6,5
parturi,barber,0,0,0,5,8,5
kirjuri,bookeeper,0,0,,5,1,4
emännöitsijä,housekeeper,0,0,0,5,8,7
osastopäällikkö,Head of department,0,0,1,3,1,3
kivityömies,stone workman,0,1,0,5,6,4
käsityönopettaja,crafts teacher,0,0,1,3,0,3
käsityöläinen,craftsman,0,0,0,5,6,3
merimies,sailor,0,0,0,5,5,4
metallityömies,metal worker,0,1,0,5,6,4
myyntipäällikkö,Sales Manager,0,0,,3,2,3
konttoripäällikkö,secretary,0,0,0,4,1,5
koneteknikko,machine technician,0,0,0,5,6,4
konstaapeli,officer,0,0,,3,8,3
vakuutustarkastaja,insurance inspector,0,0,,4,0,3
kodinhoitaja,homemaker,0,0,0,,8,
talousapulainen,houseworker,0,0,0,,8,6
yövartija,night watchman,0,0,0,4,8,7
vanhaemäntä,Grandmother on a farm,1,1,0,1,3,4
veturinlämmittäjä,fireman,0,0,0,5,5,5
betoniraudoittaja,concrete reenforcement worker,0,1,0,5,6,6
talollinen,landowner (farmer),1,1,0,1,3,4
kelloseppä,watchmaker,0,0,0,5,6,3
mylläri,miller (grind grain into flour),1,1,0,5,6,4
konekirjoittaja,typist,0,0,0,5,1,5
ylipostimies,postman,0,0,0,4,8,6
rautatievirkailija,railway clerk,0,0,0,4,5,5
suutari,cobbler,0,0,0,5,6,4
silittäjä,irons textiles,0,0,0,5,6,6
vääpeli,sergeant major,0,0,,,8,4
ylikonemestari,chief engineer,0,0,1,3,0,3
paperityöläinen,paper worker,0,0,0,5,6,4
sahatyömies,sawmill laborer,0,1,0,5,6,6
asemapäällikkö,stationmaster,0,0,,3,1,3
elintarviketyöläinen,food worker,0,0,0,5,6,6
valaja,founder,0,1,0,5,6,4
eristäjä,isolator,0,,0,,6,
etumies,foreman,0,0,0,4,,3
raudoittaja,steel bender,0,1,0,5,6,4
kansalaiskoulunopettaja,Civil school teacher,0,0,1,3,0,2
lastaaja,loader,0,1,0,5,6,6
modisti,milliner (makes female hats and other accesories),0,0,0,5,6,5
maalarimestari,master painter,0,0,1,5,6,4
päiväapulainen,day helper,0,0,0,5,8,6
agronomi,agronomist,1,0,1,3,3,2
metsänhoitaja,forester,1,0,0,5,3,3
apulaiskanslisti,office assistant,0,0,0,4,1,7
varatuomari,vice judge,0,0,1,3,0,1
ravintolatyöntekijä,restaurant worker,0,0,0,5,8,6
kotitalousteknikko,household technician,0,0,0,5,6,4
puhelinmestari,telephone repairmen,0,0,0,5,8,4
rehtori,principal,0,0,1,3,0,1
leipoja,baker,0,0,0,5,6,4
merikapteeni,sea ​​captain,0,0,,3,5,1
kotiavustaja,home assistant,0,0,,5,8,6
kotirouva,housewife,0,0,0,,,
leipomotyöntekijä,bakery employee,0,0,0,5,6,6
vaununtarkastaja,wagon inspector,0,0,1,4,5,4
yliluutnantti evp,Lieutenant,0,0,1,,8,3
kaivosmies,miner,0,1,0,5,4,6
laitosapulainen,Department assistant,0,0,0,4,6,4
meijeriapulainen,dairy helper,1,1,0,5,6,4
muusikko,musician,0,0,,,0,2
toimistonhoitaja,Office manager,0,0,1,3,1,2
kylmäkkö,Pastry chef,0,0,0,5,8,4
tehtaantyöntekijä,factory worker,0,1,0,5,6,6
traktorinkuljettaja,tractor driver,0,0,0,5,5,6
kirjansitoja,bookbinder,0,0,0,5,6,4
kultaseppä,goldsmith,0,1,0,5,6,4
paperityöntekijä,paper worker,0,0,0,5,6,5
betonityömies,concrete laborer,0,1,0,5,6,6
poraaja,driller,0,1,0,5,6,5
prässääjä,metal worker,0,1,0,5,6,6
ylikersantti evp,Staff Sergeant retired,0,0,,,8,3
pankinjohtaja,bank manager,0,0,1,3,1,2
majuri evp,Major ret,0,0,1,,8,3
laivuri,shipmaster,0,0,,,5,2
kuormausmestari,loader of railawy cars,0,1,0,5,5,7
laborantti,Laboratory,0,0,,3,0,2
valokuvaaja,photographer,0,0,,4,0,3
maatyömies,odd jobs in the countryside,,0,0,5,3,7
nuohooja,chimney sweep,0,1,0,5,8,7
puutarhatyöntekijä,garden worker,0,1,0,5,3,7
koneompelija,machine seamstress,0,0,0,5,6,6
puhelinvirkailija,telephone clerk,0,0,0,4,1,6
dipl.ins,Engineer with MSc,0,0,1,3,0,2
liikennöitsijä,operator,0,0,0,5,5,6
talousopettaja,economic teacher,0,0,1,3,0,2
toimittaja,supplier,0,0,0,4,0,4
vanginvartija,jailer,0,0,0,4,8,5
betonimies,Concrete layer,0,1,0,5,4,6
mittamies,measurer,0,0,0,5,6,6
postimies,the postman,0,0,0,4,8,4
leipomotyöläinen,bakery worker,0,0,0,5,6,4
torikauppias,market vendor,0,0,0,4,2,4
osastoapulainen,assistant in hospital,0,0,0,4,1,5
konemies,machinist,0,1,0,5,6,5
metallimies,metal worker,0,1,0,5,6,5
piirtäjä,draftsman,0,0,,5,0,4
kehrääjä,spinner,0,0,0,5,6,5
lähettäjä,dispatcher,0,0,,4,6,5
