name,region,stemmedName,extractedName,latitude,longitude,addedByKaira
Hamari,other,-hamar,-hamari,,,
Harlu,karelia,-harlu,-Harlu,,,
Hattula,other,-hattul,-Hattula,,,
Haukivuori,other,-haukivuor,-Haukivuori,,,
Heinolanmlk,other,heinolanmlk,Heinolanmlk,,,
Helsinginmlk,other,helsinginmlk,Helsinginmlk,,,
Helsinki,other,-helsink,-Helsinki,,,
Jaakkima,karelia,-jaakkim,-Jaakkima,,,
Jääski,karelia,-jääsk,-Jääski,,,
Jalasjärvi,other,-jalasjärv,-Jalasjärvi,,,
Jämsä,other,-jäms,-Jämsä,65.18115,25.48028,
Juva,other,-juva,-Juva,,,
Kalvola,other,-kalvol,-Kalvola,,,
Kausala,other,-kausal,-Kausala,,,
Kaustinen,other,-kaustin,-Kaustinen,,,
Kemiö,other,-kemiö,-Kemiö,,,
Kirvu,karelia,-kirvu,-Kirvu,,,
Koivisto,karelia,-koivisto,-Koivisto,,,
Kokkola,other,-kokkol,-Kokkola,,,
korpi,other,-korp,-korpi,,,
Köyliö,other,-köyliö,-Köyliö,,,
Kuhmoinen,other,-kuhmoin,-Kuhmoinen,,,
Kuopio,other,-kuopio,-Kuopio,,,
Kurikka,other,-kurik,-Kurikka,,,
Kurkijoki,karelia,-kurkijok,-Kurkijoki,,,
Lahti,other,-laht,-Lahti,61.15,21.48333,
läkkälä,karelia,-läkkäl,-läkkälä,,,
lankylä,karelia,-lankyl,-lankylä,,,
Lappväärtti,other,-lappväärt,-Lappväärtti,,,
Laukaa,other,-lauka,-Laukaa,,,
mentaka,other,-mentak,-mentaka,,,
nola,other,-nola,-nola,,,
Noormarkku,other,-noormarku,-Noormarkku,,,
Parkano,other,-parkano,-Parkano,,,
Piikkiö,other,-piikiö,-Piikkiö,,,
Punkalaidun,other,-punkalaidu,-Punkalaidun,,,
Rantasalmi,other,-rantasalm,-Rantasalmi,,,
Rautjärvi,other,-rautjärv,-Rautjärvi,,,
Rusko,other,-rusko,-Rusko,,,
Saarijärvi,other,-saarijärv,-Saarijärvi,,,
Sakkola,karelia,-sakkol,-Sakkola,,,
Salmi,karelia,-salm,-Salmi,,,
Savitaipale,other,-savitaipal,-Savitaipale,,,
Sodassa,other,-soda,-Sodassa,,,
Suistamo,karelia,-suistamo,-Suistamo,,,
tiala,other,-tiala,-tiala,,,
tiö,other,-tiö,-tiö,,,
Viipuri,karelia,-viipur,-Viipuri,,,
Viitalla,other,-viita,-Viitalla,,,
Virtasalmi,other,-virtasalm,-Virtasalmi,,,
Äänekoski,other,ääenkosk,Ääenkoski,,,
Aake,other,aake,Aake,,,
Aaljärvi,other,aaljärv,Aaljärvi,,,
Aaljoki,other,aaljok,Aaljoki,60.26098,23.26368,
Aalstaro,other,aalstaro,Aalstaro,,,
Aalvus,other,aalvus,Aalvus,,,
Aämslinna,karelia,aämslin,Aämslinna,,,
Ääneko,,ääne,Ääneko,,,
Äänekoski,karelia,äänekosk,Äänekoski,,,
Äänekoskenmlk,other,äänekoskenmlk,Äänekoskenmlk,,,
Äänekoskikk,other,äänekoskik,Äänekoskikk,,,
Äänekoskimlk,other,äänekoskimlk,Äänekoskimlk,,,
Ääneskoski,other,ääneskosk,Ääneskoski,,,
